date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:08	322/322	---M--	200	added ('OK')	text/plain	date:Wed,%2005%20Apr%202023%2014:22:08%20GMT	https://p2908yuti.editorx.io/robots.txt		(from )
19:52:12	392731/392731	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2014:22:07%20GMT	https://p2908yuti.editorx.io/healthriskpredictor	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/healthriskpredictor.html	(from )
19:52:13	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:13	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:13	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2005%20Mar%202023%2016:54:09%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/HealthRiskPredictor/polyfill.io/v3/polyfill.mind82c.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:15	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:15	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2014:22:15%20GMT	https://p2908yuti.editorx.io/decodeURIComponent(e	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/decodeURIComponent(e	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:15	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2014:22:15%20GMT	https://p2908yuti.editorx.io/sitemap.xml	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/sitemap.xml	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:16	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2014:22:16%20GMT	https://p2908yuti.editorx.io/feed.xml	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/feed.xml	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:16	78243/78243	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d1867842a3d08fd8badfa5eebc6f0527%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.c358a6aa.bundle.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.c358a6aa.bundle.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:16	150975/150975	---M-Z	200	added ('OK')	application/javascript	etag:W/%22390cd91b0817ba13e792e0c361ebcad7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.0ae44ec8.bundle.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.0ae44ec8.bundle.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:16	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2014:22:16%20GMT	https://p2908yuti.editorx.io/	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/index.html	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:17	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:17	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:17	7897/7897	---M-Z	200	added ('OK')	application/javascript	etag:W/%2282ef8cd522818464cafdf4bf58ab1ffa%22	https://static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:18	27728/27728	---M-Z	200	added ('OK')	application/javascript	etag:W/%229562c76ed2a51f076cdd128b590e7b83%22	https://static.parastorage.com/services/wix-perf-measure/1.1058.0/wix-perf-measure.umd.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/services/wix-perf-measure/1.1058.0/wix-perf-measure.umd.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:18	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor)
